datetime, tweet, followers
2019-09-14 10:00:42,"b'PlaceMe is recruiting for a Warehouse Stock Control Administrator\n\nProficient in #warehouse management system, https://t.co/O33J3mXrHM'",302
2019-09-14 08:30:11,"b'On this day in 1998, Microsoft became the biggest company in the world after being valued at $261bn on the New York https://t.co/kNqM27XRgu'",82
2019-09-13 23:40:49,b'@Steven_Ballmer you did a good job at #Microsoft growing revenue from $15 billion to $80 billion. Although the stoc https://t.co/tlOkVE3nK9',464
2019-09-13 23:00:06,"b'#Microsoft recently joined the ranks of the trillion dollar company club, but its #Azure success has its stock posi https://t.co/92Jw7G7t4u'",1034
2019-09-13 22:37:20,"b'Microsoft : Connected Vehicle Platform Presence at IAA, the Frankfurt Auto Show #Microsoft #Stock #MarketScreener https://t.co/ingJDNk8Ak'",9421
2019-09-13 21:44:04,b'Microsoft President to Companies : Know What You Stand For #Microsoft #Stock #MarketScreener https://t.co/z2TjaV6bsb https://t.co/hKroB8F7zC',9421
2019-09-13 20:24:18,b'$MSFT breaks back below 50-day moving average: https://t.co/N1r1zCGDHo\nSentiment: Neutral #MSFT #Microsoft',216
2019-09-13 17:32:10,b'Microsoft : Azure Media Services unveils new AI-powered innovations at IBC 2019 #Microsoft #Stock #MarketScreener https://t.co/IyGPcjmfNw',9421
2019-09-13 13:35:17,"b'Microsoft : will never sell facial recognition for surveillance, president says #Microsoft #Stock #MarketScreener https://t.co/q9LGXgMFI9'",9421
2019-09-13 11:53:30,"b""$MSFT's price moved above its 50-day Moving Average on September 12, 2019. View odds for this and other indicators: https://t.co/EwkCGWuYuK""",872
2019-09-13 04:05:05,b'RT @bklynvideogames: Almost forgot. Now in stock #XboxOneX #elitecontroller #microsoft #nyc #brooklynvideogames https://t.co/KV6QpV1ldW',746
2019-09-13 04:03:02,b'RT @bklynvideogames: Almost forgot. Now in stock #XboxOneX #elitecontroller #microsoft #nyc #brooklynvideogames https://t.co/KV6QpV1ldW',371
2019-09-13 01:46:12,b'RT @bklynvideogames: Almost forgot. Now in stock #XboxOneX #elitecontroller #microsoft #nyc #brooklynvideogames https://t.co/KV6QpV1ldW',1154
2019-09-13 01:43:02,b'Almost forgot. Now in stock #XboxOneX #elitecontroller #microsoft #nyc #brooklynvideogames https://t.co/KV6QpV1ldW',1927
2019-09-12 20:44:52,b'$MSFT breaks back above 50-day moving average: https://t.co/1PLYofHvwJ\nSentiment: Neutral #MSFT #Microsoft',216
2019-09-12 19:38:44,b'I am 99% sure that MAPI is broken on Windows 10 when using the default Mail app (NOT Outlook). I used a bone stock https://t.co/qZfDJqjS0F',128
2019-09-12 15:06:18,b'The Brokers at GSIMarkets whould like to inform you that: Microsoft Corp (MSFT) stock rose by 1.0799%! Currently pr https://t.co/wPi04ER4uM',534
2019-09-12 12:52:15,b'#microsoft #microsoftstock #NYSE #NASDAQ #stock #stockforecast #MSFT #stockprice #LSELondon #SGX #IDX #HKEX Microso https://t.co/A0JWQrlGwV',8
2019-09-12 11:25:58,b'#microsoft #microsoftstock #NYSE #NASDAQ #stock #stockforecast #MSFT #stockprice #LSELondon #SGX #IDX #HKEX Accurat https://t.co/oTV58g2nrY',8
2019-09-12 09:03:36,"b'$MSFT enters an Uptrend as Momentum Indicator exceeded the 0 level on September 4, 2019. View odds for this and oth https://t.co/S0yM34DhcO'",872
2019-09-12 02:18:18,"b""RT @GeekyBugle01: So #Disney &amp; #Netflix stock droped after #AppleTv anouncement? If there's a service you should never subscribe to is anyt""",1735
2019-09-12 00:58:23,"b""RT @GeekyBugle01: So #Disney &amp; #Netflix stock droped after #AppleTv anouncement? If there's a service you should never subscribe to is anyt""",2428
2019-09-12 00:57:49,"b""So #Disney &amp; #Netflix stock droped after #AppleTv anouncement? If there's a service you should never subscribe to i https://t.co/akDLBtGyEM""",1233
2019-09-12 00:05:20,b'How in the heck does Apple show up in my stock app when I search #MICROSOFT https://t.co/bj4SoKRTj2',1
2019-09-11 21:01:36,b'$MSFT closes above its opening price after recovering from early selling pressure: https://t.co/TEBRzfvRaY\nSentimen https://t.co/PA6RKcYhcU',216
